companyNumber,recordType,companyStatus,numberOfOfficers,companyNameLenght,companyName
NC000154,1,D,0002,0019,KENNEDY GUMLEY LLP<
NC000155,1,D,0002,0013,303 TECH LLP<
NC000156,1, ,0002,0025,O`TOOLE & ASSOCIATES LLP<
NC000157,1,D,0003,0015,TULLYVERRY LLP<
NC000158,1,D,0003,0014,AILESBURY LLP<
NC000159,1,D,0003,0019,NMF PROPERTIES LLP<
NC000160,1,D,0002,0024,BREDAN DEVELOPMENTS LLP<
NC000161,1,D,0002,0017,CUISLE CEOIL LLP<
NC000162,1, ,0002,0017,J.G. FLEMING LLP<
NC000163,1,D,0003,0036,OLIVETREE PROPERTY DEVELOPMENTS LLP<
NC000164,1,R,0002,0027,GLENKEADY DEVELOPMENTS LLP<
NC000165,1, ,0003,0046,THE BOYD PARTNERSHIP CHARTERED ARCHITECTS LLP<
NC000166,1, ,0004,0031,PERENNIAL RESTAURANTS (NI) LLP<
NC000167,1,R,0007,0013,SCANDOWN LLP<
NC000168,1,D,0004,0027,ISLAND PROPERTIES (NI) LLP<
NC000169,1, ,0004,0018,DONNELLY HIRE LLP<
NC000170,1, ,0002,0013,TWOLOCHS LLP<
NC000171,1,L,0002,0023,ABACO DEVELOPMENTS LLP<
NC000172,1, ,0003,0020,JAP (MOYGASHEL) LLP<
NC000173,1,D,0001,0020,MCCABREY MCCALL LLP<
NC000174,1, ,0003,0013,JAP (NI) LLP<
NC000175,1,R,0003,0031,ROADSIDE DEVELOPMENTS (NI) LLP<
NC000176,1,D,0004,0011,KENNED LLP<
NC000177,1,D,0003,0019,CSK PROPERTIES LLP<
NC000178,1, ,0002,0029,GLOBAL PROJECTS PARTNERS LLP<
NC000179,1, ,0004,0030,SOUTH ANTRIM DEVELOPMENTS LLP<
NC000180,1, ,0007,0024,EAST ANTRIM FARMING LLP<
NC000181,1, ,0002,0015,BROWNSTOWN LLP<
NC000182,1,D,0002,0016,MCG ESTATES LLP<
NC000183,1,R,0004,0027,BALLYSILLAN PROPERTIES LLP<
NC000184,1,R,0002,0019,JVR PROPERTIES LLP<
NC000185,1, ,0003,0012,AODHCON LLP<
NC000186,1, ,0007,0011,F-MERC LLP<
NC000187,1,D,0002,0012,BADDELL LLP<
NC000188,1, ,0002,0012,TAYMACK LLP<
NC000189,1, ,0002,0022,DUNDONALD LEISURE LLP<
NC000190,1, ,0003,0026,RAINEY & BEST BELFAST LLP<
NC000191,1, ,0003,0019,RHM COMMERCIAL LLP<
NC000192,1, ,0003,0016,BRADLEY ART LLP<
NC000193,1,L,0002,0025,COOLDERRY PROPERTIES LLP<
NC000194,1, ,0002,0035,G & M MILLS PLANT HIRE & SALES LLP<
NC000195,1,D,0003,0019,GBM PROPERTIES LLP<
NC000196,1,D,0002,0023,LARFRAN INDUSTRIES LLP<
NC000197,1,D,0004,0032,BEANNCHOR PROPERTIES (2007) LLP<
NC000198,1,D,0002,0034,FORSYTHE FLOORING CONTRACTORS LLP<
NC000199,1,D,0002,0034,INFORMATION AND ADVICE CENTRE LLP<
NC000200,1, ,0005,0014,LAVINMORE LLP<
NC000201,1, ,0003,0020,JAP (MORECAMBE) LLP<
NC000202,1, ,0010,0025,HM WEALTH MANAGEMENT LLP<
NC000203,1,D,0002,0024,CRESCENT ASSOCIATES LLP<
NC000204,1,D,0002,0018,BELSHAW BROWN LLP<
NC000205,1, ,0002,0044,ANDERSON AND MACAULAY MORTGAGE SERVICES LLP<
NC000206,1, ,0002,0027,YARRUM PROPERTIES (NI) LLP<
NC000207,1, ,0002,0022,FARRELL & FARRELL LLP<
NC000208,1,D,0004,0013,R.E.M.C. LLP<
NC000209,1, ,0002,0020,DUNDEE PROPERTY LLP<
NC000210,1,D,0002,0013,VIALEONE LLP<
NC000211,1, ,0003,0016,NEPTUNE ONE LLP<
NC000212,1,D,0002,0013,ASTONDOA LLP<
NC000213,1, ,0002,0022,LARMAC PROPERTIES LLP<
NC000214,1,R,0003,0009,SPBM LLP<
NC000215,1,L,0002,0025,RUSHVALE INVESTMENTS LLP<
NC000216,1,D,0003,0018,GREYCOAT (NI) LLP<
NC000217,1, ,0003,0020,BSA INVESTMENTS LLP<
NC000218,1,D,0002,0029,LAGANVIEW AUDIT SERVICES LLP<
NC000219,1,D,0002,0012,BJM TAX LLP<
NC000220,1,D,0002,0046,NORTHERN IRELAND AUDIOLOGICAL CONSULTANTS LLP<
NC000221,1,D,0003,0021,THYME RESTAURANT LLP<
NC000222,1,D,0002,0028,PFPG (NI) TAX SOLUTIONS LLP<
NC000223,1, ,0001,0028,PARADIGM NICHE PLANNING LLP<
NC000224,1, ,0010,0011,LISNEY LLP<
NC000225,1,D,0002,0017,CLEYMORE ONE LLP<
NC000226,1, ,0003,0021,BCJ DEVELOPMENTS LLP<
NC000227,1,D,0003,0016,BADDELL TWO LLP<
NC000228,1,L,0002,0026,LINENHALL INVESTMENTS LLP<
NC000229,1,D,0002,0024,J M MCALLISTER & CO LLP<
NC000230,1,D,0002,0018,OKADA IRELAND LLP<
NC000231,1,D,0005,0022,EXTRATEC SUPPLIES LLP<
NC000232,1,D,0002,0032,IRVINE MAINTENANCE SERVICES LLP<
NC000233,1,D,0002,0028,BANG ON THE DOOR DESIGN LLP<
NC000234,1,D,0002,0024,GREENSTREET IRELAND LLP<
NC000235,1, ,0004,0021,CPD DEVELOPMENTS LLP<
